CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
42 Coin,Scrypt,True,PoW/PoS,41.99995383,42
365Coin,X11,True,PoW/PoS,,2300000000
404Coin,Scrypt,True,PoW/PoS,1055184902.04,532000000
SixEleven,SHA-256,True,PoW,,611000
808,SHA-256,True,PoW/PoS,0.0,0
EliteCoin,X13,True,PoW/PoS,29279424622.5027,314159265359
2015 coin,X11,True,PoW/PoS,,0
Bitcoin,SHA-256,True,PoW,17927175.0,21000000
Ethereum,Ethash,True,PoW,107684222.6865,0
Litecoin,Scrypt,True,PoW,63039243.3000049,84000000
Dash,X11,True,PoW/PoS,9031294.37563393,22000000
Monero,CryptoNight-V7,True,PoW,17201143.1449131,0
Ethereum Classic,Ethash,True,PoW,113359703.0,210000000
ZCash,Equihash,True,PoW,7383056.25,21000000
Bitshares,SHA-512,True,PoS,2741570000.0,3600570502
DigiByte,Multiple,True,PoW,11406219141.0,21000000000
BitcoinDark,SHA-256,True,PoW/PoS,1288862.0,22000000
CraigsCoin,X11,True,PoS,,30000000
Bitstake,X11,True,PoW/PoS,0.0,1300000
PayCoin,SHA-256,True,PoS,11995334.8847328,12500000
ProsperCoin,Scrypt,True,PoW,5768310.0,21000000
YbCoin,Multiple,True,PoS,,200000000
DarkKush,X13,True,PoW/PoS,,3000000
GiveCoin,X11,True,PoW,,500000000
KoboCoin,X15,True,PoW/PoS,25542535.5881841,350000000
DarkToken,NIST5,True,PoW/PoS,,0
CETUS Coin,Scrypt,True,PoW/PoS,,0
Spreadcoin,X11,True,PoW,11149733.9976203,20000000
Insanity Coin,X11,True,PoW,,50000000
ACoin,SHA-256,True,PoW,0.0,1600000
Aero Coin,X13,True,PoS,0.0,7000000
AlphaCoin,Scrypt,True,PoW,,210182000
Aegis,X13,True,PoS,,0
AmericanCoin,Scrypt,True,PoW,,168000000
AlienCoin,Scrypt,True,PoW,,200000000
ApexCoin,X13,True,PoW/PoS,0.0,6000000
ArchCoin,Scrypt,True,PoS,0.0,16403135
Argentum,Scrypt,True,PoW,12205795.4449549,64000000
AriCoin,Scrypt,True,PoW,,322649400
Aurora Coin,Scrypt,True,PoW/PoS,18135099.992959,16768584
BetaCoin,SHA-256,True,PoW,0.0,32000000
BeanCash,SHA-256,True,PoW/PoS,,50000000000
BlueCoin,Scrypt,True,PoW/PoS,635423900.0,0
BQCoin,Scrypt,True,PoW,,88000000
